Type,Node,Node Interface,Leaf IP Address,Peer Type,Peer Node,Peer Interface,Peer IP Address
l3leaf,Leaf1,Ethernet49/1,10.255.255.1/31,spine,Spine1,Ethernet6/1,10.255.255.0/31
l3leaf,Leaf1,Ethernet51/1,10.255.255.3/31,spine,Spine2,Ethernet6/1,10.255.255.2/31
l3leaf,Leaf2,Ethernet49/1,10.255.255.5/31,spine,Spine1,Ethernet7/1,10.255.255.4/31
l3leaf,Leaf2,Ethernet51/1,10.255.255.7/31,spine,Spine2,Ethernet7/1,10.255.255.6/31
l3leaf,Leaf3,Ethernet49/1,10.255.255.9/31,spine,Spine1,Ethernet8/1,10.255.255.8/31
l3leaf,Leaf3,Ethernet51/1,10.255.255.11/31,spine,Spine2,Ethernet8/1,10.255.255.10/31
l3leaf,Leaf4,Ethernet49/1,10.255.255.13/31,spine,Spine1,Ethernet9/1,10.255.255.12/31
l3leaf,Leaf4,Ethernet51/1,10.255.255.15/31,spine,Spine2,Ethernet9/1,10.255.255.14/31
l3leaf,Leaf5,Ethernet49/1,10.255.255.17/31,spine,Spine1,Ethernet1,10.255.255.16/31
l3leaf,Leaf5,Ethernet51/1,10.255.255.19/31,spine,Spine2,Ethernet1,10.255.255.18/31
l3leaf,Leaf7,Ethernet49/1,10.255.255.21/31,spine,Spine1,Ethernet2,10.255.255.20/31
l3leaf,Leaf7,Ethernet51/1,10.255.255.23/31,spine,Spine2,Ethernet2,10.255.255.22/31
